year,city_id,city_name,province,source_destination_id,product_group,capacity_mtco2_per_year,allocation_weight,allocation_fraction,allocation_index,regional_capacity_mtco2_per_year,basis,real_data_flag,evidence_grade,source_table,source_url,notes
2023,ORDOS,Ordos,Inner Mongolia,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.814516,0.9,0.07258065,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,YULIN,Yulin,Shaanxi,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.612903,0.8,0.06451613,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,YINCHUAN,Yinchuan/Ningdong,Ningxia,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.612903,0.8,0.06451613,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,BAOTOU,Baotou,Inner Mongolia,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.612903,0.8,0.06451613,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,WUHAI,Wuhai,Inner Mongolia,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.612903,0.8,0.06451613,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,HAMI,Hami,Xinjiang,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,2.016129,1.0,0.08064516,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,TURPAN,Turpan,Xinjiang,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,2.016129,1.0,0.08064516,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,URUMQI,Urumqi,Xinjiang,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.612903,0.8,0.06451613,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,JIUQUAN,Jiuquan,Gansu,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,2.016129,1.0,0.08064516,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,ZHANGYE,Zhangye,Gansu,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.814516,0.9,0.07258065,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,JINCHANG,Jinchang,Gansu,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.814516,0.9,0.07258065,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,GOLMUD,Golmud/Haixi,Qinghai,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,2.016129,1.0,0.08064516,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,XINING,Xining,Qinghai,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.612903,0.8,0.06451613,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,ZHONGWEI,Zhongwei,Ningxia,NW_RENEW_H2_QH,methanol;carbon_monoxide;formic_acid_equivalent;sustainable_aviation_fuel,1.814516,0.9,0.07258065,renewable_power_index,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
2023,SHANGHAI,Shanghai,Shanghai,EAST_CHEM_SH,methanol;carbon_monoxide;formic_acid_equivalent;ethylene,1.893833,1.0,0.10416667,chemical_demand_index,18.180794,regional_ethylene_output_proxy,1,C,NBS China Statistical Yearbook 2024 Table 13-13,https://www.stats.gov.cn/sj/ndsj/2024/indexeh.htm,Screening allocation from regional capacity to city demand index; replace with observed city product demand for final model.
