change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNZPG,zhengpugang Pt,zhengpugang Pt,AH,1-------,AS,1607,,3138N 11823E,,31.633333,118.383333,1
,CNZGZ,Zhengzhou,Zhengzhou,HA,-2-45---,AS,1401,,3446N 11340E,,34.766667,113.666667,0
,CNCGO,Zhengzhou Xinzheng International Apt,Zhengzhou Xinzheng International Apt,HA,---4----,AS,1601,,,,,,0
,CNZZZ,Zhengzhoudong Railway Station,Zhengzhoudong Railway Station,HA,-2------,AS,1601,,3445N 11346E,,34.750000,113.766667,0
,CNZHI,Zhenhai Pt,Zhenhai Pt,ZJ,1-------,AS,1601,,,,,,1
,CNZHE,Zhenjiang,Zhenjiang,JS,1234----,AS,2107,,3211N 11927E,,32.183333,119.450000,1
,CNZOU,Zhenzhou,Zhenzhou,11,--3-----,RQ,0901,,,,,,0
,CNZXI,Zhexiang,Zhexiang,GZ,1-------,RL,1401,,,,,,1
,CNZCG,Zhicheng,Zhicheng,HB,1-------,RL,1401,,,,,,1
,CNZHC,Zhongcun,Zhongcun,SN,--3-----,RL,0607,,3327N 11012E,,33.450000,110.200000,0
,CNZGC,Zhongguancun,Zhongguancun,BJ,-----6--,AS,1601,,,,,,0
,CNZLN,Zhongluotan,Zhongluotan,GD,--3-----,RL,0607,,2323N 11323E,,23.383333,113.383333,0
,CNZGA,Zhongshan,Zhongshan,GX,--3--6--,RL,0607,,2431N 11118E,,24.516667,111.300000,0
,CNZSN,Zhongshan,Zhongshan,GD,123-----,AS,2107,,2231N 11322E,,22.516667,113.366667,1
,CNZGT,Zhongtang,Zhongtang,GD,1-------,AS,1601,,2305N 11339E,,23.083333,113.650000,1
,CNZXN,Zhongxian,Zhongxian,CQ,1-------,RL,1401,,,,,,1
,CNZXG,Zhongxiang,Zhongxiang,HB,--3-----,RQ,1007,,3109N 11234E,,31.150000,112.566667,0
,CNZKO,Zhoukou,Zhoukou,HA,-----6--,AS,1401,,3337N 11438E,,33.616667,114.633333,0
,CNZQJ,Zhouqujia,Zhouqujia,AH,1-------,RL,1401,,,,,,1
,CNZOS,Zhoushan,Zhoushan,ZJ,123-----,AS,2107,,,,,,1
,CNZTZ,Zhoutuozi,Zhoutuozi,LN,-23-----,RL,0907,,4209N 12232E,,42.150000,122.533333,0
,CNZZG,Zhouzhuang,Zhouzhuang,JS,1-------,RL,1401,,,,,,1
,CNZHH,Zhuanghe Pt,Zhuanghe Pt,LN,1-------,AS,1601,,3941N 12258E,,39.683333,122.966667,1
,CNZYO,Zhuangyuanao,Zhuangyuanao,ZJ,1-------,RQ,1007,,2753N 12107E,,27.883333,121.116667,1
,CNZHQ,Zhuanqiao,Zhuanqiao,31,--3-5---,RQ,0901,,3113N 12127E,,31.216667,121.450000,0
,CNZHU,Zhuao,Zhuao,GD,--3-----,AS,1601,,,,,,0
,CNZCH,Zhucheng,Zhucheng,SD,--3-----,RL,0607,,3559N 11923E,,35.983333,119.383333,0
,CNZEQ,Zhuengadabuqi,Zhuengadabuqi,NM,--3-----,AS,1401,,4544N 11616E,,45.733333,116.266667,0
,CNZUH,Zhuhai,Zhuhai,GD,123-----,AS,2107,,2217N 11334E,,22.283333,113.566667,1
,CNZHJ,Zhuji,Zhuji,ZJ,-2---6--,RL,1401,,2942N 12014E,,29.700000,120.233333,0
,CNZLO,Zhuliao,Zhuliao,GD,1-3--6--,RL,0601,,2322N 11320E,,23.366667,113.333333,1
,CNZHZ,Zhuozhou,Zhuozhou,HE,--3-----,RL,9901,,,,,,0
,CNZUS,Zhushan,Zhushan,GX,1-------,RL,1401,,,,,,1
,CNZUT,Zhutan,Zhutan,32,--3-----,RL,0901,,3146N 12024E,,31.766667,120.400000,0
,CNZUY,Zhuyang,Zhuyang,CQ,1-------,RL,1401,,,,,,1
,CNZZO,Zhuzhou,Zhuzhou,HN,-----6--,AS,1401,,2751N 11309E,,27.850000,113.150000,0
¦,CNZBO,Zibo,Zibo,SD,-23--6--,AS,2407,,3640N 11804E,,36.666667,118.066667,0
,CNZCU,Zichuan,Zichuan,37,--3-----,RL,0901,,3639N 11756E,,36.650000,117.933333,0
¦,CNZGO,Zigong,Zigong,SC,-23--6--,AS,2407,,2923N 10446E,,29.383333,104.766667,0
¦,CNZYA,Ziyang,Ziyang,SC,-23-5---,AA,2407,,3007N 10437E,,30.116667,104.616667,0
,CNZIY,Ziyuan Pt,Ziyuan Pt,GX,1-------,RL,1401,,,,,,1
,CNZYG,Zongyang,Zongyang,AH,1-------,RL,1401,,,,,,1
,CNZOC,Zoucheng,Zoucheng,SD,-2------,RL,1401,,,,,,0
,CNZXJ,Zouxiang,Zouxiang,32,-----6--,RL,0901,,3140N 12040E,,31.666667,120.666667,0
,CNZNY,Zunyi,Zunyi,GZ,-----6--,AS,1601,,2742N 10655E,,27.700000,106.916667,0
,CNZYI,Zunyi Xinzhou Apt,Zunyi Xinzhou Apt,GZ,---4----,RL,1401,,,,,,0
